Blood Bank Name,State,District,City,Address,Pincode,Contact No,Mobile,Helpline,Email,Category
Jeevan Blood Bank 36,Tamil Nadu,Chennai District,Chennai,"Chennai Main Road, 66",171548,045-376805,9761414358,1800-252,jeevanbloodbank36@gmail.com,Government
Unity Blood Bank 8,Uttar Pradesh,Lucknow District,Lucknow,"Lucknow Main Road, 183",199678,073-198895,9736548808,1800-426,unitybloodbank8@gmail.com,Charity
Jeevan Blood Bank 187,Andhra Pradesh,Tirupati District,Tirupati,"Tirupati Main Road, 61",121619,012-631981,9923305098,1800-507,jeevanbloodbank187@gmail.com,Government
Hope Blood Bank 51,West Bengal,Howrah District,Howrah,"Howrah Main Road, 108",161895,025-187422,9702077830,1800-227,hopebloodbank51@gmail.com,Charity
Sanjeevani Blood Bank 55,West Bengal,Siliguri District,Siliguri,"Siliguri Main Road, 117",150019,065-182475,9171167243,1800-997,sanjeevanibloodbank55@gmail.com,Government
Jeevan Blood Bank 148,Telangana,Nizamabad District,Nizamabad,"Nizamabad Main Road, 197",117025,092-942436,9476555705,1800-618,jeevanbloodbank148@gmail.com,Government
Jeevan Blood Bank 112,Telangana,Karimnagar District,Karimnagar,"Karimnagar Main Road, 3",180708,034-678775,9408324142,1800-480,jeevanbloodbank112@gmail.com,Charity
Apollo Blood Bank 31,Uttar Pradesh,Kanpur District,Kanpur,"Kanpur Main Road, 25",122920,073-728418,9655550012,1800-709,apollobloodbank31@gmail.com,Government
Sanjeevani Blood Bank 175,Andhra Pradesh,Tirupati District,Tirupati,"Tirupati Main Road, 110",157516,097-918093,9850980364,1800-664,sanjeevanibloodbank175@gmail.com,Private
Apollo Blood Bank 152,Maharashtra,Mumbai District,Mumbai,"Mumbai Main Road, 62",195907,069-271553,9892016997,1800-920,apollobloodbank152@gmail.com,Government
Red Cross Blood Bank 91,Uttar Pradesh,Agra District,Agra,"Agra Main Road, 67",147105,089-144490,9803511665,1800-295,redcrossbloodbank91@gmail.com,Private
Unity Blood Bank 30,West Bengal,Kolkata District,Kolkata,"Kolkata Main Road, 165",162428,056-425928,9535375796,1800-444,unitybloodbank30@gmail.com,Government
Sanjeevani Blood Bank 129,Andhra Pradesh,Tirupati District,Tirupati,"Tirupati Main Road, 117",186015,085-635778,9418350659,1800-632,sanjeevanibloodbank129@gmail.com,Government
Apollo Blood Bank 99,Telangana,Karimnagar District,Karimnagar,"Karimnagar Main Road, 18",148748,027-741315,9913905124,1800-152,apollobloodbank99@gmail.com,Charity
LifeCare Blood Bank 138,Tamil Nadu,Chennai District,Chennai,"Chennai Main Road, 136",168343,081-636217,9303291855,1800-227,lifecarebloodbank138@gmail.com,Private
Jeevan Blood Bank 140,Tamil Nadu,Coimbatore District,Coimbatore,"Coimbatore Main Road, 28",189081,080-840691,9316812695,1800-643,jeevanbloodbank140@gmail.com,Government
Apollo Blood Bank 2,Uttar Pradesh,Agra District,Agra,"Agra Main Road, 171",163636,015-550080,9793876158,1800-854,apollobloodbank2@gmail.com,Private
LifeCare Blood Bank 99,Uttar Pradesh,Varanasi District,Varanasi,"Varanasi Main Road, 140",147159,087-115467,9225744768,1800-340,lifecarebloodbank99@gmail.com,Government
Apollo Blood Bank 109,Tamil Nadu,Chennai District,Chennai,"Chennai Main Road, 115",115575,097-486286,9915670551,1800-313,apollobloodbank109@gmail.com,Private
Apollo Blood Bank 144,Tamil Nadu,Chennai District,Chennai,"Chennai Main Road, 92",150869,068-107966,9938547116,1800-668,apollobloodbank144@gmail.com,Government
Red Cross Blood Bank 85,Karnataka,Bengaluru District,Bengaluru,"Bengaluru Main Road, 103",169828,066-339317,9368731379,1800-630,redcrossbloodbank85@gmail.com,Government
Apollo Blood Bank 89,Tamil Nadu,Coimbatore District,Coimbatore,"Coimbatore Main Road, 8",127168,011-940290,9884738404,1800-661,apollobloodbank89@gmail.com,Charity
Sanjeevani Blood Bank 48,Tamil Nadu,Madurai District,Madurai,"Madurai Main Road, 17",131891,060-347650,9264348813,1800-737,sanjeevanibloodbank48@gmail.com,Charity
Red Cross Blood Bank 62,Uttar Pradesh,Agra District,Agra,"Agra Main Road, 38",184198,046-210476,9217629852,1800-139,redcrossbloodbank62@gmail.com,Private
Unity Blood Bank 176,Andhra Pradesh,Vijayawada District,Vijayawada,"Vijayawada Main Road, 194",157474,014-486400,9418338184,1800-476,unitybloodbank176@gmail.com,Private
LifeCare Blood Bank 39,Maharashtra,Nashik District,Nashik,"Nashik Main Road, 110",187311,048-217849,9527736986,1800-586,lifecarebloodbank39@gmail.com,Charity
Hope Blood Bank 100,West Bengal,Siliguri District,Siliguri,"Siliguri Main Road, 13",182878,070-421435,9794366288,1800-566,hopebloodbank100@gmail.com,Private
Red Cross Blood Bank 62,Uttar Pradesh,Varanasi District,Varanasi,"Varanasi Main Road, 64",160972,073-974591,9648941249,1800-920,redcrossbloodbank62@gmail.com,Private
Hope Blood Bank 100,Andhra Pradesh,Tirupati District,Tirupati,"Tirupati Main Road, 76",182442,045-185339,9412680969,1800-485,hopebloodbank100@gmail.com,Government
Hope Blood Bank 199,Karnataka,Mangaluru District,Mangaluru,"Mangaluru Main Road, 156",187073,083-540750,9520125773,1800-477,hopebloodbank199@gmail.com,Charity
Hope Blood Bank 122,Karnataka,Bengaluru District,Bengaluru,"Bengaluru Main Road, 169",182911,043-408556,9873553072,1800-473,hopebloodbank122@gmail.com,Private
Unity Blood Bank 55,Telangana,Karimnagar District,Karimnagar,"Karimnagar Main Road, 141",189945,051-894728,9533209021,1800-101,unitybloodbank55@gmail.com,Charity
